skip	done	track_number	start_time	session_date	session_name	style_tags	current_track_title	top_track_artist	top_track_title	bottom_track_artist	bottom_track_title	output_filename	video_title	video_description	publish_datetime	full_session	Notes	publish_date	publish_time											
1	0	1	00:00:00	210730	Remember	 #remember #cantaditas #radical	The Morrighan - Remember					210730_1	 vs  - INITdj #session #dj #remember #cantaditas #radical	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n    vs     - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_1]	2022-09-01T00:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-01	00:00											
1	0	2	00:00:00	210730	Remember	 #remember #cantaditas #radical	Vincent De Moor - Flowtation 2002	The Morrighan	Remember	Vincent De Moor	Flowtation 2002	210730_2	The Morrighan vs Vincent De Moor - INITdj #session #dj #remember #cantaditas #radical	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n The Morrighan Remember  vs  Vincent De Moor Flowtation 2002  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_2]	2022-09-01T00:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-01	00:00											
0	0	3	00:07:51	210730	Remember	 #remember #cantaditas #radical	Joy Kitikonti - Joyenergizer	Vincent De Moor	Flowtation 2002	Joy Kitikonti	Joyenergizer	210730_3	Vincent De Moor vs Joy Kitikonti - INITdj #session #dj #remember #cantaditas #radical	Vincent De Moor Flowtation 2002  vs  Joy Kitikonti Joyenergizer  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_3]	2022-09-24T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-24	23:00											
1	0	4	00:00:00	210730	Remember	 #remember #cantaditas #radical	Johnny O - Fantasy Girl	Joy Kitikonti	Joyenergizer	Johnny O	Fantasy Girl	210730_4	Joy Kitikonti vs Johnny O - INITdj #session #dj #remember #cantaditas #radical	Joy Kitikonti Joyenergizer  vs  Johnny O Fantasy Girl  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_4]	2022-09-01T00:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-01	00:00											
0	0	5	00:16:41	210730	Remember	 #remember #cantaditas #radical	Maxipaul - Tic tuc tac	Johnny O	Fantasy Girl	Maxipaul	Tic tuc tac	210730_5	Johnny O vs Maxipaul - INITdj #session #dj #remember #cantaditas #radical	Johnny O Fantasy Girl  vs  Maxipaul Tic tuc tac  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_5]	2022-09-25T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-25	19:00											
0	0	6	00:18:15	210730	Remember	 #remember #cantaditas #radical	Tukan - Hear the silence	Maxipaul	Tic tuc tac	Tukan	Hear the silence	210730_6	Maxipaul vs Tukan - INITdj #session #dj #remember #cantaditas #radical	Maxipaul Tic tuc tac  vs  Tukan Hear the silence  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_6]	2022-09-30T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-30	04:00											
0	0	7	00:19:47	210730	Remember	 #remember #cantaditas #radical	Warbeat - Bako Bako	Tukan	Hear the silence	Warbeat	Bako Bako	210730_7	Tukan vs Warbeat - INITdj #session #dj #remember #cantaditas #radical	Tukan Hear the silence  vs  Warbeat Bako Bako  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_7]	2022-09-25T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-25	23:00											
0	0	8	00:23:45	210730	Remember	 #remember #cantaditas #radical	Laura Paussini - Surrender	Warbeat	Bako Bako	Laura Paussini	Surrender	210730_8	Warbeat vs Laura Paussini - INITdj #session #dj #remember #cantaditas #radical	Warbeat Bako Bako  vs  Laura Paussini Surrender  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_8]	2022-09-30T08:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-30	08:00											
0	0	9	00:26:54	210730	Remember	 #remember #cantaditas #radical	Gigi Pussy - Elektro	Laura Paussini	Surrender	Gigi Pussy	Elektro	210730_9	Laura Paussini vs Gigi Pussy - INITdj #session #dj #remember #cantaditas #radical	Laura Paussini Surrender  vs  Gigi Pussy Elektro  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_9]	2022-09-26T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-26	04:00											
0	0	10	00:29:58	210730	Remember	 #remember #cantaditas #radical	GAL - What will I do	Gigi Pussy	Elektro	GAL	What will I do	210730_10	Gigi Pussy vs GAL - INITdj #session #dj #remember #cantaditas #radical	Gigi Pussy Elektro  vs  GAL What will I do  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_10]	2022-09-30T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-30	19:00											
